,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'SPACEBOY CHILDRENS CUP'}),frozenset({'SPACEBOY CHILDRENS BOWL'}),0.0468384074941452,0.04449648711943794,0.03981264637002342,0.85,19.102631578947367,0.037728501774265205,6.370023419203746
1,frozenset({'SPACEBOY CHILDRENS BOWL'}),frozenset({'SPACEBOY CHILDRENS CUP'}),0.04449648711943794,0.0468384074941452,0.03981264637002342,0.8947368421052632,19.102631578947367,0.037728501774265205,9.05503512880562
2,frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),frozenset({'SWEETHEART CERAMIC TRINKET BOX'}),0.05620608899297424,0.0351288056206089,0.03044496487119438,0.5416666666666666,15.419444444444444,0.02847051209626554,2.1051735150095805
3,frozenset({'SWEETHEART CERAMIC TRINKET BOX'}),frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),0.0351288056206089,0.05620608899297424,0.03044496487119438,0.8666666666666667,15.419444444444444,0.02847051209626554,7.078454332552695
4,frozenset({'SET OF 12 FAIRY CAKE BAKING CASES'}),frozenset({'SET OF 12 MINI LOAF BAKING CASES'}),0.04449648711943794,0.04449648711943794,0.03044496487119438,0.6842105263157895,15.376731301939058,0.02846502750522407,3.0257611241217797
5,frozenset({'SET OF 12 MINI LOAF BAKING CASES'}),frozenset({'SET OF 12 FAIRY CAKE BAKING CASES'}),0.04449648711943794,0.04449648711943794,0.03044496487119438,0.6842105263157895,15.376731301939058,0.02846502750522407,3.0257611241217797
6,frozenset({'CHILDRENS CUTLERY DOLLY GIRL'}),frozenset({'CHILDRENS CUTLERY SPACEBOY'}),0.053864168618266976,0.05152224824355972,0.04215456674473068,0.782608695652174,15.189723320158103,0.039379363677747366,4.3629976580796255
7,frozenset({'CHILDRENS CUTLERY SPACEBOY'}),frozenset({'CHILDRENS CUTLERY DOLLY GIRL'}),0.05152224824355972,0.053864168618266976,0.04215456674473068,0.8181818181818181,15.189723320158102,0.039379363677747366,5.20374707259953
8,frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),0.06088992974238876,0.053864168618266976,0.04918032786885246,0.8076923076923077,14.994983277591974,0.045900542426054,4.919906323185012
9,frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),0.053864168618266976,0.06088992974238876,0.04918032786885246,0.9130434782608696,14.994983277591974,0.045900542426054,10.799765807962537
